filename,label,fold_id
../../data/train/HTC-1-M7/(HTC-1-M7)148.jpg,0,2
../../data/train/Sony-NEX-7/(Nex7)231.JPG,9,2
../../data/train/Sony-NEX-7/(Nex7)135.JPG,9,3
../../data/train/HTC-1-M7/(HTC-1-M7)81.jpg,0,3
../../data/train/HTC-1-M7/(HTC-1-M7)196.jpg,0,1
../../data/train/Sony-NEX-7/(Nex7)40.JPG,9,1
../../data/train/HTC-1-M7/(HTC-1-M7)270.jpg,0,3
../../data/train/Sony-NEX-7/(Nex7)113.JPG,9,3
../../data/train/HTC-1-M7/(HTC-1-M7)116.jpg,0,2
../../data/train/Sony-NEX-7/(Nex7)119.JPG,9,2
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)78.jpg,4,2
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)31.jpg,4,3
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)131.jpg,4,1
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)72.jpg,4,3
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)83.jpg,4,2
../../data/train/HTC-1-M7/(HTC-1-M7)154.jpg,0,2
../../data/train/LG-Nexus-5x/(LG5x)242.jpg,6,2
../../data/train/HTC-1-M7/(HTC-1-M7)129.jpg,0,0
../../data/train/Sony-NEX-7/(Nex7)247.JPG,9,2
../../data/train/HTC-1-M7/(HTC-1-M7)163.jpg,0,3
../../data/train/HTC-1-M7/(HTC-1-M7)158.jpg,0,4
../../data/train/Sony-NEX-7/(Nex7)275.JPG,9,0
../../data/train/HTC-1-M7/(HTC-1-M7)221.jpg,0,0
../../data/train/Sony-NEX-7/(Nex7)71.JPG,9,3
../../data/train/LG-Nexus-5x/(LG5x)203.jpg,6,4
../../data/train/Sony-NEX-7/(Nex7)188.JPG,9,4
../../data/train/HTC-1-M7/(HTC-1-M7)108.jpg,0,1
../../data/train/LG-Nexus-5x/(LG5x)30.jpg,6,1
../../data/train/LG-Nexus-5x/(LG5x)102.jpg,6,3
../../data/train/Sony-NEX-7/(Nex7)229.JPG,9,0
../../data/train/HTC-1-M7/(HTC-1-M7)18.jpg,0,2
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)224.jpg,4,2
../../data/train/HTC-1-M7/(HTC-1-M7)162.jpg,0,2
../../data/train/Sony-NEX-7/(Nex7)22.JPG,9,1
../../data/train/HTC-1-M7/(HTC-1-M7)55.jpg,0,4
../../data/train/LG-Nexus-5x/(LG5x)264.jpg,6,2
../../data/train/HTC-1-M7/(HTC-1-M7)236.jpg,0,4
../../data/train/HTC-1-M7/(HTC-1-M7)85.jpg,0,0
../../data/train/LG-Nexus-5x/(LG5x)94.jpg,6,1
../../data/train/Sony-NEX-7/(Nex7)147.JPG,9,2
../../data/train/Sony-NEX-7/(Nex7)94.JPG,9,2
../../data/train/HTC-1-M7/(HTC-1-M7)166.jpg,0,1
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)166.jpg,4,0
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)159.jpg,4,3
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)51.jpg,4,4
../../data/train/LG-Nexus-5x/(LG5x)243.jpg,6,0
../../data/train/HTC-1-M7/(HTC-1-M7)53.jpg,0,4
../../data/train/LG-Nexus-5x/(LG5x)12.jpg,6,3
../../data/train/Motorola-X/(MotoX)205.jpg,3,2
../../data/train/Motorola-X/(MotoX)137.jpg,3,4
../../data/train/LG-Nexus-5x/(LG5x)95.jpg,6,3
../../data/train/LG-Nexus-5x/(LG5x)105.jpg,6,0
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)272.jpg,4,0
../../data/train/LG-Nexus-5x/(LG5x)13.jpg,6,0
../../data/train/Sony-NEX-7/(Nex7)245.JPG,9,4
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)85.jpg,4,1
../../data/train/HTC-1-M7/(HTC-1-M7)207.jpg,0,1
../../data/train/LG-Nexus-5x/(LG5x)168.jpg,6,2
../../data/train/Sony-NEX-7/(Nex7)228.JPG,9,4
../../data/train/Motorola-X/(MotoX)188.jpg,3,2
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)48.jpg,4,2
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)155.jpg,4,2
../../data/train/Sony-NEX-7/(Nex7)45.JPG,9,0
../../data/train/Sony-NEX-7/(Nex7)176.JPG,9,1
../../data/train/Sony-NEX-7/(Nex7)180.JPG,9,4
../../data/train/LG-Nexus-5x/(LG5x)171.jpg,6,2
../../data/train/Sony-NEX-7/(Nex7)190.JPG,9,1
../../data/train/LG-Nexus-5x/(LG5x)87.jpg,6,3
../../data/train/Sony-NEX-7/(Nex7)154.JPG,9,0
../../data/train/LG-Nexus-5x/(LG5x)127.jpg,6,4
../../data/train/Sony-NEX-7/(Nex7)142.JPG,9,4
../../data/train/Sony-NEX-7/(Nex7)51.JPG,9,4
../../data/train/HTC-1-M7/(HTC-1-M7)219.jpg,0,0
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)198.jpg,4,4
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)3.jpg,4,4
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)4.jpg,4,0
../../data/train/Motorola-X/(MotoX)131.jpg,3,3
../../data/train/LG-Nexus-5x/(LG5x)17.jpg,6,0
../../data/train/LG-Nexus-5x/(LG5x)183.jpg,6,1
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)175.jpg,4,1
../../data/train/Motorola-X/(MotoX)217.jpg,3,2
../../data/train/HTC-1-M7/(HTC-1-M7)253.jpg,0,4
../../data/train/Motorola-Nexus-6/(MotoNex6)68.jpg,7,2
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)103.jpg,4,4
../../data/train/LG-Nexus-5x/(LG5x)56.jpg,6,3
../../data/train/LG-Nexus-5x/(LG5x)173.jpg,6,0
../../data/train/LG-Nexus-5x/(LG5x)192.jpg,6,0
../../data/train/Motorola-X/(MotoX)142.jpg,3,1
../../data/train/Motorola-Nexus-6/(MotoNex6)69.jpg,7,4
../../data/train/LG-Nexus-5x/(LG5x)18.jpg,6,4
../../data/train/HTC-1-M7/(HTC-1-M7)31.jpg,0,4
../../data/train/HTC-1-M7/(HTC-1-M7)246.jpg,0,0
../../data/train/Motorola-Nexus-6/(MotoNex6)151.jpg,7,2
../../data/train/Sony-NEX-7/(Nex7)192.JPG,9,0
../../data/train/Samsung-Galaxy-S4/(GalaxyS4)47.jpg,4,1
../../data/train/iPhone-6/(iP6)17.jpg,1,2
../../data/train/iPhone-6/(iP6)22.jpg,1,4
../../data/train/Motorola-Nexus-6/(MotoNex6)12.jpg,7,3
../../data/train/Sony-NEX-7/(Nex7)28.JPG,9,3
../../data/train/Motorola-Nexus-6/(MotoNex6)253.jpg,7,2
../../data/train/LG-Nexus-5x/(LG5x)10.jpg,6,4
../../data/train/Samsung-Galaxy-Note3/(GalaxyN3)24.jpg,8,2
../../data/train/HTC-1-M7/(HTC-1-M7)237.jpg,0,3
../../data/train/Sony-NEX-7/(Nex7)87.JPG,9,0
../../data/train/iPhone-6/(iP6)150.jpg,1,2
../../data/train/iPhone-6/(iP6)106.jpg,1,3
../../data/train/Motorola-Nexus-6/(MotoNex6)106.jpg,7,1
../../data/train/Sony-NEX-7/(Nex7)159.JPG,9,0
../../data/train/iPhone-6/(iP6)116.jpg,1,2
../../data/train/LG-Nexus-5x/(LG5x)246.jpg,6,2
../../data/train/Motorola-X/(MotoX)128.jpg,3,0
../../data/train/HTC-1-M7/(HTC-1-M7)164.jpg,0,0
../../data/train/LG-Nexus-5x/(LG5x)172.jpg,6,3
../../data/train/LG-Nexus-5x/(LG5x)255.jpg,6,0
../../data/train/HTC-1-M7/(HTC-1-M7)249.jpg,0,0
